entity,code,year,income
Albania,ALB,1996,6.9721026
Albania,ALB,2002,6.6881413
Albania,ALB,2005,7.7997913
Albania,ALB,2008,8.4002
Albania,ALB,2012,8.240385
Albania,ALB,2014,8.295376
Albania,ALB,2015,10.043126000000001
Albania,ALB,2016,10.274922
Albania,ALB,2017,10.187669
Albania,ALB,2018,11.6399765
Albania,ALB,2019,11.611524
Albania,ALB,2020,12.064707
Algeria,DZA,1988,5.5539804
Algeria,DZA,1995,5.7523637
Algeria,DZA,2011,8.04364
Angola,AGO,2000,4.6733184
Angola,AGO,2008,4.7030997
Angola,AGO,2018,3.4205022
Argentina (urban),NA,1980,24.830717
Argentina (urban),NA,1986,25.367317
Argentina (urban),NA,1987,22.359615
Argentina (urban),NA,1991,15.114628
Argentina (urban),NA,1992,15.807517
Argentina (urban),NA,1993,16.156162
Argentina (urban),NA,1994,15.622388
Argentina (urban),NA,1995,14.441226
Argentina (urban),NA,1996,13.854637
Argentina (urban),NA,1997,14.835679
Argentina (urban),NA,1998,13.572867
Argentina (urban),NA,1999,13.479605
Argentina (urban),NA,2000,12.820309
Argentina (urban),NA,2001,11.441448
Argentina (urban),NA,2002,7.848625
Argentina (urban),NA,2003,11.572903
Argentina (urban),NA,2004,13.4154825
Argentina (urban),NA,2005,14.883712
Argentina (urban),NA,2006,17.003906
Argentina (urban),NA,2007,17.583319
Argentina (urban),NA,2008,18.386515
Argentina (urban),NA,2009,19.652662
Argentina (urban),NA,2010,20.200413
Argentina (urban),NA,2011,21.535973
Argentina (urban),NA,2012,21.84913
Argentina (urban),NA,2013,22.084642
Argentina (urban),NA,2014,20.105286
Argentina (urban),NA,2016,20.881012
Argentina (urban),NA,2017,21.996168
Argentina (urban),NA,2018,19.941988
Argentina (urban),NA,2019,18.919567
Argentina (urban),NA,2020,16.616943
Argentina (urban),NA,2021,17.896223
Argentina (urban),NA,2022,17.290493
Armenia,ARM,1999,3.9263155
Armenia,ARM,2001,3.7717013
Armenia,ARM,2002,3.9557726
Armenia,ARM,2003,4.167549
Armenia,ARM,2004,4.830017
Armenia,ARM,2005,5.4379992
Armenia,ARM,2006,5.8377285
Armenia,ARM,2007,6.3974786
Armenia,ARM,2008,6.6593184
Armenia,ARM,2009,5.956918
Armenia,ARM,2010,5.9216743
Armenia,ARM,2011,6.1817684
Armenia,ARM,2012,6.37294
Armenia,ARM,2013,6.597413
Armenia,ARM,2014,6.7330723
Armenia,ARM,2015,7.1080394
Armenia,ARM,2016,7.7114472
Armenia,ARM,2017,6.9698253
Armenia,ARM,2018,6.9356084
Armenia,ARM,2019,6.713989
Armenia,ARM,2020,6.619426
Armenia,ARM,2021,6.7418895
Armenia,ARM,2022,6.7156725
Australia,AUS,1981,32.32216
Australia,AUS,1985,32.708267
Australia,AUS,1989,33.693123
Australia,AUS,1995,31.018078
Australia,AUS,2001,35.176933
Australia,AUS,2003,36.377586
Australia,AUS,2004,39.830036
Australia,AUS,2008,48.249416
Australia,AUS,2010,49.001587
Australia,AUS,2014,52.274582
Australia,AUS,2016,51.968037
Australia,AUS,2018,53.050495
Austria,AUT,1994,44.72875
Austria,AUT,1995,44.657364
Austria,AUT,1996,42.95575
Austria,AUT,1997,43.246304
Austria,AUT,1998,43.76893
Austria,AUT,1999,46.104816
Austria,AUT,2000,44.952507
Austria,AUT,2003,47.833397
Austria,AUT,2004,50.183907
Austria,AUT,2005,48.654762
Austria,AUT,2006,48.87515
Austria,AUT,2007,51.080627
Austria,AUT,2008,52.83893
Austria,AUT,2009,53.982433
Austria,AUT,2010,54.96537
Austria,AUT,2011,53.49292
Austria,AUT,2012,52.69723
Austria,AUT,2013,54.359097
Austria,AUT,2014,54.46112
Austria,AUT,2015,54.984207
Austria,AUT,2016,56.993645
Austria,AUT,2017,57.028057
Austria,AUT,2018,56.41074
Austria,AUT,2019,57.64287
Austria,AUT,2020,59.103535
Austria,AUT,2021,58.25852
Azerbaijan,AZE,1995,4.3125057
Azerbaijan,AZE,2001,4.9036164
Azerbaijan,AZE,2002,6.949713
