LeadTime,ArrivalDateYear,StaysInWeekendNights,StaysInWeekNights,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
79,2015,1,5,Offline TA/TO,TA/TO,0,0,0,E,0,314,NA,0,Contract,56.16,0,1
49,2016,2,1,Online TA,TA/TO,0,0,0,A,6,240,NA,0,Transient,64.8,0,3
292,2016,0,1,Groups,TA/TO,0,0,0,A,1,368,NA,0,Transient-Party,38,0,1
121,2017,3,6,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,180,0,4
4,2015,1,2,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,1
229,2017,2,2,Offline TA/TO,TA/TO,0,0,0,A,0,410,NA,0,Transient,118.5,0,0
248,2016,2,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,55.8,0,0
71,2016,0,2,Online TA,TA/TO,0,0,0,A,0,242,NA,0,Transient,37.8,0,1
80,2017,2,2,Direct,Direct,0,1,0,F,1,250,NA,0,Transient,195,0,0
246,2015,2,5,Offline TA/TO,TA/TO,0,1,0,A,0,96,NA,0,Transient-Party,58.95,0,0
108,2016,1,5,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,234,0,1
468,2016,0,2,Groups,TA/TO,0,0,0,A,0,249,NA,0,Transient-Party,67,0,1
117,2016,2,5,Online TA,TA/TO,0,0,0,E,4,240,NA,0,Transient-Party,66.02,0,0
0,2016,0,1,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,93,0,1
7,2016,0,5,Direct,Direct,0,0,0,D,1,250,NA,0,Transient,124.33,1,1
211,2016,0,3,Groups,TA/TO,0,0,0,D,0,1,NA,0,Transient,89,0,0
177,2017,2,7,Online TA,TA/TO,0,0,0,D,2,240,NA,0,Transient,200,0,0
27,2016,0,1,Complementary,Direct,0,0,0,A,0,NA,NA,0,Transient,0,1,0
225,2016,1,1,Groups,TA/TO,0,0,0,A,0,298,NA,0,Transient-Party,85,0,0
289,2015,1,2,Groups,TA/TO,0,1,0,A,0,134,NA,0,Transient-Party,69,0,0
4,2016,1,3,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient,46,0,1
243,2016,2,3,Groups,TA/TO,0,0,0,D,0,91,NA,0,Transient-Party,55.1,0,0
45,2015,2,3,Online TA,TA/TO,0,0,0,G,0,241,NA,0,Transient,117.81,0,0
1,2016,0,1,Direct,Direct,0,0,2,A,0,NA,NA,0,Transient,75,0,0
78,2016,1,5,Online TA,TA/TO,0,0,0,G,0,240,NA,0,Transient,259,0,0
19,2016,2,2,Online TA,TA/TO,0,0,0,F,0,242,NA,0,Transient,139,0,1
296,2017,0,1,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,67.5,0,2
28,2017,1,2,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,170,0,2
225,2016,1,3,Groups,Direct,0,0,0,A,2,NA,223,0,Transient-Party,72,1,0
0,2017,0,1,Direct,Direct,0,0,0,D,0,250,NA,0,Transient,68,0,0
81,2016,0,3,Groups,TA/TO,0,0,0,A,1,115,NA,0,Transient-Party,86.55,0,0
5,2017,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,171,0,1
248,2016,2,3,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,55.8,0,0
