response,ArrivalDateYear,ArrivalDateMonth,StaysInWeekendNights,StaysInWeekNights,MarketSegment,DistributionChannel,IsRepeatedGuest,PreviousCancellations,PreviousBookingsNotCanceled,ReservedRoomType,BookingChanges,Agent,Company,DaysInWaitingList,CustomerType,ADR,RequiredCarParkingSpaces,TotalOfSpecialRequests
1,2015,October,2,5,Groups,Direct,0,0,0,D,0,273,NA,0,Transient-Party,68.74,0,0
2,2015,October,2,5,Groups,TA/TO,0,1,0,A,0,96,NA,0,Transient,36.05,0,0
1,2016,January,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,54,1,0
2,2015,October,0,2,Direct,Direct,0,0,0,G,0,NA,NA,0,Transient,106,0,2
1,2015,November,0,1,Offline TA/TO,TA/TO,0,0,0,D,1,96,NA,0,Transient,37,1,0
1,2015,September,2,8,Offline TA/TO,TA/TO,0,0,0,A,0,40,NA,0,Contract,42.5,0,1
1,2015,September,2,4,Direct,Direct,0,0,0,A,0,250,NA,0,Transient,98,0,0
1,2016,January,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,48,0,2
1,2015,October,0,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,48,0,2
1,2015,August,0,5,Online TA,TA/TO,0,0,0,D,1,240,NA,0,Transient,241,0,2
2,2016,March,0,3,Groups,TA/TO,0,0,0,A,1,NA,NA,0,Transient-Party,46,0,0
1,2016,December,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,464,NA,0,Transient,48,0,0
1,2016,January,0,1,Corporate,Corporate,0,0,0,A,0,NA,NA,0,Transient,38,0,0
2,2016,October,2,2,Groups,TA/TO,0,0,0,A,0,68,NA,0,Transient,72,0,0
1,2015,September,2,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,95.86,0,0
1,2016,April,1,1,Corporate,Corporate,1,0,2,A,2,NA,384,0,Transient-Party,42,0,0
2,2016,October,1,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,79,0,0
2,2015,October,0,1,Offline TA/TO,TA/TO,0,0,0,A,0,146,NA,0,Transient,37,0,0
2,2016,June,1,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,72,0,0
2,2016,September,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,81,0,1
1,2015,November,1,0,Corporate,Corporate,0,0,0,A,0,NA,88,0,Transient,35,0,0
1,2016,December,0,1,Direct,Direct,1,0,3,E,1,250,NA,0,Transient,101,1,1
1,2016,February,0,2,Direct,Direct,0,0,0,A,1,250,NA,0,Transient,45,0,0
1,2016,September,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,171,NA,0,Transient,90.8,0,0
1,2016,November,0,1,Online TA,TA/TO,0,0,0,A,1,240,NA,0,Transient,48,0,1
1,2016,December,0,2,Offline TA/TO,TA/TO,0,0,0,D,1,5,NA,0,Transient,175,0,1
2,2015,July,0,2,Groups,TA/TO,0,24,0,A,0,NA,NA,0,Transient,121.5,0,0
2,2015,September,0,3,Groups,Corporate,0,1,0,A,0,NA,223,0,Transient,33.3,0,0
1,2016,March,0,3,Groups,Direct,0,0,0,A,1,NA,223,0,Transient-Party,72,1,0
1,2016,February,1,3,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,46.5,1,0
1,2016,September,0,1,Corporate,Corporate,0,0,0,A,1,NA,94,0,Transient,58,0,0
1,2016,January,0,4,Online TA,TA/TO,1,0,0,D,0,NA,NA,0,Transient,44.8,0,0
1,2016,March,0,1,Online TA,TA/TO,0,0,0,D,0,241,NA,0,Transient,55.56,0,1
2,2016,April,2,5,Groups,Direct,0,0,0,D,0,273,NA,0,Transient,76.05,0,0
1,2015,August,2,4,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,112.33,0,1
1,2016,July,1,0,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,201,0,1
1,2015,November,0,1,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,38,0,0
2,2015,September,2,6,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,81.45,0,1
1,2016,March,0,1,Direct,Direct,0,0,0,C,2,250,NA,0,Transient,37.05,0,2
1,2016,December,0,1,Corporate,Corporate,1,0,2,A,0,NA,NA,0,Transient,65,0,1
1,2016,January,0,2,Online TA,TA/TO,0,0,0,H,0,240,NA,0,Transient,71.2,0,0
1,2015,August,2,5,Offline TA/TO,TA/TO,0,0,0,A,0,6,NA,0,Transient-Party,90.95,0,1
1,2016,December,0,1,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient-Party,43,0,1
1,2016,March,0,1,Online TA,TA/TO,1,0,2,A,0,240,NA,0,Transient,70,0,0
1,2015,July,0,4,Offline TA/TO,TA/TO,0,0,0,A,0,105,NA,0,Transient,110.7,0,1
1,2015,September,2,5,Online TA,TA/TO,0,0,0,A,0,240,NA,0,Transient,74,1,3
1,2015,October,1,3,Direct,Direct,0,0,0,A,2,NA,223,0,Transient-Party,46.5,1,1
2,2016,June,1,5,Online TA,TA/TO,0,0,0,D,0,240,NA,0,Transient,85.5,0,0
2,2015,August,0,5,Offline TA/TO,TA/TO,0,0,0,D,0,242,NA,0,Transient-Party,186,0,1
1,2016,March,8,20,Direct,Direct,0,0,0,A,2,250,NA,0,Transient,50.91,0,0
1,2016,September,1,1,Direct,Direct,0,0,0,A,1,250,NA,0,Transient,169,1,0
1,2015,November,0,1,Corporate,Corporate,0,0,0,A,0,NA,274,0,Transient,38,0,0
1,2015,November,2,3,Direct,Direct,0,0,0,A,0,NA,NA,0,Transient,43,0,0
1,2016,August,4,10,Online TA,TA/TO,0,0,0,D,0,5,NA,0,Transient,190.34,0,0
1,2015,July,2,8,Online TA,TA/TO,0,0,0,E,0,240,NA,0,Transient,167.8,1,0
