Movie ID,Title,Genres,Tite
1,Toy Story (1995),Animation|Children's|Comedy,Toy Story (1995)
2,Jumanji (1995),Adventure|Children's|Fantasy,Jumanji (1995)
3,Grumpier Old Men (1995),Comedy|Romance,Grumpier Old Men (1995)
4,Waiting to Exhale (1995),Comedy|Drama,Waiting to Exhale (1995)
5,Father of the Bride Part II (1995),Comedy,Father of the Bride Part II (1995)
6,Heat (1995),Action|Crime|Thriller,Heat (1995)
7,Sabrina (1995),Comedy|Romance,Sabrina (1995)
8,Tom and Huck (1995),Adventure|Children's,Tom and Huck (1995)
9,Sudden Death (1995),Action,Sudden Death (1995)
10,GoldenEye (1995),Action|Adventure|Thriller,GoldenEye (1995)
11,"American President, The (1995)",Comedy|Drama|Romance,American President The (1995)
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Dracula: Dead and Loving It (1995)
13,Balto (1995),Animation|Children's,Balto (1995)
14,Nixon (1995),Drama,Nixon (1995)
15,Cutthroat Island (1995),Action|Adventure|Romance,Cutthroat Island (1995)
16,Casino (1995),Drama|Thriller,Casino (1995)
17,Sense and Sensibility (1995),Drama|Romance,Sense and Sensibility (1995)
18,Four Rooms (1995),Thriller,Four Rooms (1995)
19,Ace Ventura: When Nature Calls (1995),Comedy,Ace Ventura: When Nature Calls (1995)
20,Money Train (1995),Action,Money Train (1995)
21,Get Shorty (1995),Action|Comedy|Drama,Get Shorty (1995)
22,Copycat (1995),Crime|Drama|Thriller,Copycat (1995)
23,Assassins (1995),Thriller,Assassins (1995)
24,Powder (1995),Drama|Sci-Fi,Powder (1995)
25,Leaving Las Vegas (1995),Drama|Romance,Leaving Las Vegas (1995)
26,Othello (1995),Drama,Othello (1995)
27,Now and Then (1995),Drama,Now and Then (1995)
28,Persuasion (1995),Romance,Persuasion (1995)
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,City of Lost Children The (1995)
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,Dangerous Minds (1995),Drama,Dangerous Minds (1995)
32,Twelve Monkeys (1995),Drama|Sci-Fi,Twelve Monkeys (1995)
33,Wings of Courage (1995),Adventure|Romance,Wings of Courage (1995)
34,Babe (1995),Children's|Comedy|Drama,Babe (1995)
35,Carrington (1995),Drama|Romance,Carrington (1995)
36,Dead Man Walking (1995),Drama,Dead Man Walking (1995)
37,Across the Sea of Time (1995),Documentary,Across the Sea of Time (1995)
38,It Takes Two (1995),Comedy,It Takes Two (1995)
39,Clueless (1995),Comedy|Romance,Clueless (1995)
40,"Cry, the Beloved Country (1995)",Drama,Cry the Beloved Country (1995)
41,Richard III (1995),Drama|War,Richard III (1995)
42,Dead Presidents (1995),Action|Crime|Drama,Dead Presidents (1995)
43,Restoration (1995),Drama,Restoration (1995)
44,Mortal Kombat (1995),Action|Adventure,Mortal Kombat (1995)
45,To Die For (1995),Comedy|Drama,To Die For (1995)
46,How to Make an American Quilt (1995),Drama|Romance,How to Make an American Quilt (1995)
47,Seven (Se7en) (1995),Crime|Thriller,Seven (Se7en) (1995)
48,Pocahontas (1995),Animation|Children's|Musical|Romance,Pocahontas (1995)
49,When Night Is Falling (1995),Drama|Romance,When Night Is Falling (1995)
50,"Usual Suspects, The (1995)",Crime|Thriller,Usual Suspects The (1995)
51,Guardian Angel (1994),Action|Drama|Thriller,Guardian Angel (1994)
52,Mighty Aphrodite (1995),Comedy,Mighty Aphrodite (1995)
53,Lamerica (1994),Drama,Lamerica (1994)
54,"Big Green, The (1995)",Children's|Comedy,Big Green The (1995)
55,Georgia (1995),Drama,Georgia (1995)
56,Kids of the Round Table (1995),Adventure|Children's|Fantasy,Kids of the Round Table (1995)
57,Home for the Holidays (1995),Drama,Home for the Holidays (1995)
58,"Postino, Il (The Postman) (1994)",Drama|Romance,Postino Il (The Postman) (1994)
59,"Confessional, The (Le Confessionnal) (1995)",Drama|Mystery,Confessional The (Le Confessionnal) (1995)
60,"Indian in the Cupboard, The (1995)",Adventure|Children's|Fantasy,Indian in the Cupboard The (1995)
61,Eye for an Eye (1996),Drama|Thriller,Eye for an Eye (1996)
62,Mr. Holland's Opus (1995),Drama,Mr. Holland's Opus (1995)
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,Two if by Sea (1996),Comedy|Romance,Two if by Sea (1996)
65,Bio-Dome (1996),Comedy,Bio-Dome (1996)
66,Lawnmower Man 2: Beyond Cyberspace (1996),Sci-Fi|Thriller,Lawnmower Man 2: Beyond Cyberspace (1996)
67,Two Bits (1995),Drama,Two Bits (1995)
68,French Twist (Gazon maudit) (1995),Comedy|Romance,French Twist (Gazon maudit) (1995)
69,Friday (1995),Comedy,Friday (1995)
70,From Dusk Till Dawn (1996),Action|Comedy|Crime|Horror|Thriller,From Dusk Till Dawn (1996)
71,Fair Game (1995),Action,Fair Game (1995)
72,Kicking and Screaming (1995),Comedy|Drama,Kicking and Screaming (1995)
73,"Misérables, Les (1995)",Drama|Musical,Misérables Les (1995)
74,Bed of Roses (1996),Drama|Romance,Bed of Roses (1996)
75,Big Bully (1996),Comedy|Drama,Big Bully (1996)
76,Screamers (1995),Sci-Fi|Thriller,Screamers (1995)
77,Nico Icon (1995),Documentary,Nico Icon (1995)
78,"Crossing Guard, The (1995)",Drama,Crossing Guard The (1995)
79,"Juror, The (1996)",Drama|Thriller,Juror The (1996)
80,"White Balloon, The (Badkonake Sefid ) (1995)",Drama,White Balloon The (Badkonake Sefid ) (1995)
81,Things to Do in Denver when You're Dead (1995),Crime|Drama|Romance,Things to Do in Denver when You're Dead (1995)
82,Antonia's Line (Antonia) (1995),Drama,Antonia's Line (Antonia) (1995)
83,Once Upon a Time... When We Were Colored (1995),Drama,Once Upon a Time... When We Were Colored (1995)
84,Last Summer in the Hamptons (1995),Comedy|Drama,Last Summer in the Hamptons (1995)
85,Angels and Insects (1995),Drama|Romance,Angels and Insects (1995)
86,White Squall (1996),Adventure|Drama,White Squall (1996)
87,Dunston Checks In (1996),Children's|Comedy,Dunston Checks In (1996)
88,Black Sheep (1996),Comedy,Black Sheep (1996)
89,Nick of Time (1995),Action|Thriller,Nick of Time (1995)
90,"Journey of August King, The (1995)",Drama,Journey of August King The (1995)
92,Mary Reilly (1996),Drama|Thriller,Mary Reilly (1996)
93,Vampire in Brooklyn (1995),Comedy|Romance,Vampire in Brooklyn (1995)
94,Beautiful Girls (1996),Drama,Beautiful Girls (1996)
95,Broken Arrow (1996),Action|Thriller,Broken Arrow (1996)
96,In the Bleak Midwinter (1995),Comedy,In the Bleak Midwinter (1995)
97,"Hate (Haine, La) (1995)",Drama,Hate (Haine La) (1995)
98,Shopping (1994),Action|Thriller,Shopping (1994)
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Heidi Fleiss: Hollywood Madam (1995)
100,City Hall (1996),Drama|Thriller,City Hall (1996)
101,Bottle Rocket (1996),Comedy,Bottle Rocket (1996)
102,Mr. Wrong (1996),Comedy,Mr. Wrong (1996)
103,Unforgettable (1996),Thriller,Unforgettable (1996)
104,Happy Gilmore (1996),Comedy,Happy Gilmore (1996)
105,"Bridges of Madison County, The (1995)",Drama|Romance,Bridges of Madison County The (1995)
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Nobody Loves Me (Keiner liebt mich) (1994)
107,Muppet Treasure Island (1996),Adventure|Children's|Comedy|Musical,Muppet Treasure Island (1996)
108,Catwalk (1995),Documentary,Catwalk (1995)
109,Headless Body in Topless Bar (1995),Comedy,Headless Body in Topless Bar (1995)
110,Braveheart (1995),Action|Drama|War,Braveheart (1995)
111,Taxi Driver (1976),Drama|Thriller,Taxi Driver (1976)
112,Rumble in the Bronx (1995),Action|Adventure|Crime,Rumble in the Bronx (1995)
113,Before and After (1996),Drama|Mystery,Before and After (1996)
114,Margaret's Museum (1995),Drama,Margaret's Museum (1995)
115,Happiness Is in the Field (1995),Comedy,Happiness Is in the Field (1995)
116,Anne Frank Remembered (1995),Documentary,Anne Frank Remembered (1995)
117,"Young Poisoner's Handbook, The (1995)",Crime,Young Poisoner's Handbook The (1995)
118,If Lucy Fell (1996),Comedy|Romance,If Lucy Fell (1996)
119,"Steal Big, Steal Little (1995)",Comedy,Steal Big Steal Little (1995)
120,Race the Sun (1996),Drama,Race the Sun (1996)
121,"Boys of St. Vincent, The (1993)",Drama,Boys of St. Vincent The (1993)
122,Boomerang (1992),Comedy|Romance,Boomerang (1992)
123,Chungking Express (1994),Drama|Mystery|Romance,Chungking Express (1994)
124,"Star Maker, The (Uomo delle stelle, L') (1995)",Drama,Star Maker The (Uomo delle stelle L') (1995)
125,Flirting With Disaster (1996),Comedy,Flirting With Disaster (1996)
126,"NeverEnding Story III, The (1994)",Adventure|Children's|Fantasy,NeverEnding Story III The (1994)
127,"Silence of the Palace, The (Saimt el Qusur) (1994)",Drama,Silence of the Palace The (Saimt el Qusur) (1994)
128,Jupiter's Wife (1994),Documentary,Jupiter's Wife (1994)
129,Pie in the Sky (1995),Comedy|Romance,Pie in the Sky (1995)
130,Angela (1995),Drama,Angela (1995)
131,Frankie Starlight (1995),Drama|Romance,Frankie Starlight (1995)
132,Jade (1995),Thriller,Jade (1995)
133,Nueba Yol (1995),Comedy|Drama,Nueba Yol (1995)
134,Sonic Outlaws (1995),Documentary,Sonic Outlaws (1995)
135,Down Periscope (1996),Comedy,Down Periscope (1996)
136,From the Journals of Jean Seberg (1995),Documentary,From the Journals of Jean Seberg (1995)
137,Man of the Year (1995),Documentary,Man of the Year (1995)
138,"Neon Bible, The (1995)",Drama,Neon Bible The (1995)
139,Target (1995),Action|Drama,Target (1995)
140,Up Close and Personal (1996),Drama|Romance,Up Close and Personal (1996)
141,"Birdcage, The (1996)",Comedy,Birdcage The (1996)
142,Shadows (Cienie) (1988),Drama,Shadows (Cienie) (1988)
143,Gospa (1995),Drama,Gospa (1995)
144,"Brothers McMullen, The (1995)",Comedy,Brothers McMullen The (1995)
145,Bad Boys (1995),Action,Bad Boys (1995)
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,Amazing Panda Adventure The (1995)
147,"Basketball Diaries, The (1995)",Drama,Basketball Diaries The (1995)
148,"Awfully Big Adventure, An (1995)",Drama,Awfully Big Adventure An (1995)
149,Amateur (1994),Crime|Drama|Thriller,Amateur (1994)
150,Apollo 13 (1995),Drama,Apollo 13 (1995)
