"","state.name","state","Obama","McCain","EV"
"1","Alabama","AL",39,60,9
"2","Alaska","AK",38,59,3
"3","Arizona","AZ",45,54,10
"4","Arkansas","AR",39,59,6
"5","California","CA",61,37,55
"6","Colorado","CO",54,45,9
"7","Connecticut","CT",61,38,7
"8","D.C.","DC",92,7,3
"9","Delaware","DE",62,37,3
"10","Florida","FL",51,48,27
"11","Georgia","GA",47,52,15
"12","Hawaii","HI",72,27,4
"13","Idaho","ID",36,62,4
"14","Illinois","IL",62,37,21
"15","Indiana","IN",50,49,11
"16","Iowa","IA",54,44,7
"17","Kansas","KS",42,57,6
"18","Kentucky","KY",41,57,8
"19","Louisiana","LA",40,59,9
"20","Maine","ME",58,40,4
"21","Maryland","MD",62,36,10
"22","Massachusetts","MA",62,36,12
"23","Michigan","MI",57,41,17
"24","Minnesota","MN",54,44,10
"25","Mississippi","MS",43,56,6
"26","Missouri","MO",48,49,11
"27","Montana","MT",47,50,3
"28","Nebraska","NE",42,57,5
"29","Nevada","NV",55,43,5
"30","New Hampshire","NH",54,45,4
"31","New Jersey","NJ",57,42,15
"32","New Mexico","NM",57,42,5
"33","New York","NY",63,36,31
"34","North Carolina","NC",50,49,15
"35","North Dakota","ND",45,53,3
"36","Ohio","OH",51,47,20
"37","Oklahoma","OK",34,66,7
"38","Oregon","OR",57,40,7
"39","Pennsylvania","PA",55,44,21
"40","Rhode Island","RI",63,35,4
"41","South Carolina","SC",45,54,8
"42","South Dakota","SD",45,53,3
"43","Tennessee","TN",42,57,11
"44","Texas","TX",44,55,34
"45","Utah","UT",34,63,5
"46","Vermont","VT",67,30,3
"47","Virginia","VA",53,46,13
"48","Washington","WA",58,40,11
"49","West Virginia","WV",43,56,5
"50","Wisconsin","WI",56,42,10
"51","Wyoming","WY",33,65,3
