candidate_id,age,group,sick_days_before,sick_days_after
1,48,h40_fw,3,3
2,41,h32,10,10
3,28,h32,4,2
4,32,h40_sw,4,1
5,38,h40_sw,0,0
6,37,h40_fw,2,0
7,41,h32,4,4
8,61,h40_fw,1,3
9,62,h32,2,0
10,37,h32,14,13
11,55,h32,1,0
12,47,h32,6,4
13,33,h40_fw,9,11
14,34,h40_fw,1,4
15,48,h40_fw,15,14
16,36,h32,8,6
17,56,h32,7,0
18,38,h40_sw,5,3
19,42,h40_fw,3,2
20,58,h32,0,0
21,31,h32,4,2
22,27,h32,0,0
23,28,h40_fw,5,7
24,48,h40_sw,12,10
25,46,h32,0,0
26,57,h32,24,19
27,62,h40_fw,24,22
28,65,h40_sw,5,3
29,41,h40_sw,0,0
30,37,h40_sw,1,0
31,59,h40_sw,3,6
32,53,h40_fw,11,9
33,58,h40_sw,7,6
34,28,h40_fw,3,5
35,47,h40_sw,1,3
36,65,h40_sw,0,0
37,39,h40_sw,0,0
38,60,h40_fw,5,4
39,53,h40_sw,7,7
40,41,h40_fw,18,18
41,49,h40_sw,16,13
42,46,h32,6,5
43,56,h40_sw,6,1
44,45,h32,3,0
45,51,h40_fw,21,22
46,37,h40_fw,2,3
47,51,h40_fw,3,4
48,27,h32,1,0
49,27,h32,6,4
50,55,h40_sw,0,1
51,42,h40_sw,2,2
52,49,h32,1,0
53,46,h32,0,0
54,46,h40_sw,16,14
55,37,h40_fw,0,0
56,58,h40_sw,27,29
57,49,h32,9,7
58,63,h40_sw,3,3
59,42,h40_fw,0,0
60,44,h40_fw,4,3
61,30,h40_fw,1,1
62,58,h40_fw,24,21
63,55,h32,3,4
64,42,h40_sw,13,12
65,63,h32,32,29
66,44,h40_sw,8,5
67,46,h32,2,1
68,45,h40_sw,5,5
69,25,h40_sw,7,6
70,60,h32,2,2
71,37,h32,8,5
72,44,h40_sw,15,13
73,50,h40_sw,1,1
74,52,h32,1,2
75,36,h40_sw,21,21
76,46,h32,11,8
77,48,h40_fw,2,1
78,47,h32,6,5
79,24,h40_fw,11,12
